Task,Points,cmcgre7,jkilgo6,ccroc24,charne3,jponth4,lbooth3,tvaugh8
1,0,0,0,0,0,0,0,0
2,1,1,0,0,1,1,0,0
2.a,1,0,0,0,0,0,0,0
3.a,1,0,0,1,1,1,1,1
3.b,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
3.c,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
4.1,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
4.2,0.5,0,0,0.5,0.5,0.5,0.5,0.5
5,1,0,1,1,1,1,1,1
5.a,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
5.b1,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
5.b2,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
6.a,2,0,2,2,0,2,2,2
6.b,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
7.place,1,1,0,0,0,0,0,0
7.size,1,0,0,1,1,1,1,1
7.a,1,1,0,1,1,1,1,1
7.b,0.5,0,0,0.5,0.5,0.5,0.5,0.5
7.c,0,0,0,0,2,2,2,2
8,2,0,0,0,0.5,0.5,0.5,0.5
8.text,0.5,0,0,0,0.5,0.5,0.5,0.5
8.pos,0.5,0,0,1,1,1,1,1
9,1,1,1,2,2,2,2,2
10,2,0,0,1.5,0,1.5,1.5,1.5
11.ref,1.5,0,0,0.5,0.5,0.5,0.5,0.5
11.text,0.5,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,0